what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304905840406
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304905843602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304905844679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304905844848
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304905847050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304905860457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304905865039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304905935929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1304905970672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304905972346
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304905982827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304905993813
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906048962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906058017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906064674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906071266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906248905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906309021
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304906317057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906319917
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906327495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1304906331267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304906337629
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906339181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906354236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906369888
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304906371282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906377499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906379670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906388742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906401072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1304906404215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1304906405737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304906410846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304906419555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906419934
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1304906430220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906432968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304906434898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906437017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304906440911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304906459703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304906459971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304906460195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1304906460395
